index,startName,startLat,startLong,count,per_count
159,S 4 St & Wythe Ave,40.71285887,-73.96590294,15604,0.3
160,Liberty St & Broadway,40.70905623,-74.01043382,15473,0.3
161,Grove St PATH,40.71958612,-74.04311746,15421,0.3
162,9 Ave & W 28 St,40.74937024,-73.99923384,15291,0.3
163,Lexington Ave & E 29 St,40.74311555,-73.98215353,15229,0.3
164,MacDougal St & Washington Sq,40.73226398,-73.99852205,15206,0.3
165,W 43 St & 6 Ave,40.75527307,-73.98316936,15204,0.3
166,Jay St & York St,40.70140317,-73.9867267,15151,0.3
167,E 27 St & 1 Ave,40.739445,-73.976806,15150,0.3
168,Norfolk St & Broome St,40.7172274,-73.98802084,15074,0.3
169,Central Park W & W 96 St,40.79127,-73.964839,15046,0.3
170,1 Ave & E 30 St,40.74144387,-73.97536082,14993,0.3
171,Suffolk St & Stanton St,40.72066442,-73.98517977,14974,0.3
172,Watts St & Greenwich St,40.72405549,-74.00965965,14921,0.3
173,Broadway & W 53 St,40.76344058,-73.98268129,14911,0.3
174,Washington Pl & Broadway,40.72903917,-73.99404649,14865,0.3
175,E 16 St & Irving Pl,40.73536706,-73.98797393,14815,0.3
176,Bank St & Hudson St,40.73652889,-74.00618026,14815,0.3
177,W 37 St & 5 Ave,40.75038009,-73.98338988,14765,0.3
178,W 15 St & 6 Ave,40.73804614,-73.99642959,14732,0.3
179,5 Ave & E 78 St,40.77632142,-73.96427393,14673,0.3
180,E 19 St & 3 Ave,40.73624527,-73.98473765,14609,0.3
181,W 53 St & 10 Ave,40.76669671,-73.99061728,14571,0.3
182,University Pl & E 8 St,40.73143724,-73.99490342,14412,0.3
183,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,14290,0.3
184,Murray St & Greenwich St,40.71485151,-74.01122332,14256,0.3
185,Old Fulton St,40.70277159,-73.99383605,14254,0.3
186,6 Ave & W 33 St,40.74901271,-73.98848395,14234,0.3
187,Broadway & W 51 St,40.76228826,-73.98336183,14143,0.3
188,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,13877,0.3
189,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,13849,0.3
190,W 44 St & 5 Ave,40.75500254,-73.98014437,13826,0.3
191,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,13790,0.3
192,E 25 St & 1 Ave,40.7381765,-73.97738662,13718,0.3
193,Barclay St & Church St,40.71291224,-74.01020234,13487,0.3
194,Murray St & West St,40.7149787,-74.013012,13479,0.25
195,1 Ave & E 44 St,40.75001986,-73.96905301,13439,0.25
196,W 67 St & Broadway,40.77492513,-73.98266566,13428,0.25
197,Central Park West & W 76 St,40.77896784,-73.97374737,13371,0.25
198,Peck Slip & Front St,40.707873,-74.00167,13343,0.25
199,Bank St & Washington St,40.7361967,-74.00859207,13315,0.25
200,E 10 St & 5 Ave,40.73331967,-73.99510132,13314,0.25
201,E 45 St & 3 Ave,40.75255434,-73.97282625,13279,0.25
202,West Drive & Prospect Park West,40.66106337,-73.97945255,13135,0.25
203,Henry St & Grand St,40.714215,-73.981346,13077,0.25
204,Bayard St & Baxter St,40.71602118,-73.99974372,12978,0.25
205,Bergen St & Smith St,40.6867443,-73.99063168,12961,0.25
206,W 18 St & 9 Ave,40.74353373,-74.00367558,12883,0.25
207,E 2 St & Avenue C,40.7208736,-73.98085795,12869,0.25
208,E 52 St & 2 Ave,40.756014,-73.967416,12736,0.25
209,E 43 St & 5 Ave,40.75412081,-73.98025185,12511,0.25
210,Front St & Washington St,40.70255088,-73.98940236,12488,0.25
211,Milton St & Franklin St,40.72906,-73.95779,12471,0.25
212,Rivington St & Chrystie St,40.72110063,-73.9919254,12469,0.25
213,E 53 St & 3 Ave,40.75763228,-73.96930575,12361,0.25
214,E 47 St & 2 Ave,40.75323098,-73.97032517,12298,0.25
215,E 72 St & York Ave,40.76663814,-73.95348296,12285,0.25
216,W 54 St & 9 Ave,40.76584941,-73.98690506,12157,0.25
217,E 53 St & Madison Ave,40.7597108,-73.97402311,12023,0.25
218,Division St & Bowery,40.71413089,-73.9970468,11966,0.25
219,Clark St & Henry St,40.69760127,-73.99344559,11882,0.25
220,W 59 St & 10 Ave,40.770513,-73.988038,11786,0.25
221,W 56 St & 10 Ave,40.768254,-73.988639,11673,0.25
222,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,11627,0.25
223,Fulton St & Adams St,40.69241829,-73.98949474,11611,0.25
224,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,11582,0.25
225,Rivington St & Ridge St,40.71850211,-73.98329859,11554,0.25
226,Columbus Ave & W 95 St,40.7919557,-73.968087,11515,0.25
227,West Thames St,40.70834698,-74.01713445,11508,0.25
