index,endName,endLat,endLong,count,per_count
90,Little West St & 1 Pl,40.70569254,-74.01677685,19802,0.5
91,Broadway & W 29 St,40.7462009,-73.98855723,19724,0.5
92,Stanton St & Norfolk St,40.720747,-73.986274,19698,0.5
93,E 15 St & 3 Ave,40.734232,-73.986923,19598,0.5
94,2 Ave & E 72 St,40.76876203,-73.95840794,19455,0.5
95,Great Jones St,40.72743423,-73.99379025,19445,0.5
96,Central Park West & W 85 St,40.78476,-73.969862,19437,0.5
97,W 18 St & 6 Ave,40.73971301,-73.99456405,19367,0.5
98,E 72 St & York Ave,40.76663814,-73.95348296,19349,0.5
99,10 Ave & W 14 St,40.7419816,-74.0083158,19134,0.5
100,W 25 St & 6 Ave,40.74395411,-73.99144871,19067,0.5
101,Vesey Pl & River Terrace,40.7153379,-74.01658354,19021,0.5
102,E 58 St & 3 Ave,40.76095756,-73.96724467,19010,0.5
103,Broadway & W 41 St,40.75513557,-73.98658032,18971,0.5
104,E 11 St & 1 Ave,40.72953837,-73.98426726,18864,0.45
105,W 37 St & 10 Ave,40.75660359,-73.9979009,18726,0.45
106,E 23 St & 1 Ave,40.736502,-73.97809472,18662,0.45
107,W 15 St & 7 Ave,40.73935542,-73.99931783,18660,0.45
108,E 85 St & 3 Ave,40.77801203,-73.95407149,18632,0.45
109,Riverside Blvd & W 67 St,40.77750703,-73.98888588,18605,0.45
110,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,18522,0.45
111,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,18480,0.45
112,2 Ave & E 29 St,40.74172351,-73.97809267,18374,0.45
113,W 20 St & 8 Ave,40.74345335,-74.00004031,18291,0.45
114,W 47 St & 10 Ave,40.76269882,-73.99301222,18265,0.45
115,E 39 St & Lexington Ave,40.74949855,-73.97729203,18171,0.45
116,E 32 St & Park Ave,40.7457121,-73.98194829,18122,0.45
117,11 Ave & W 27 St,40.751396,-74.005226,18040,0.45
118,5 Ave & E 29 St,40.7451677,-73.98683077,18007,0.45
119,E 4 St & 2 Ave,40.7262807,-73.98978041,17765,0.45
120,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17731,0.45
121,W 59 St & 10 Ave,40.770513,-73.988038,17712,0.45
122,W 42 St & 6 Ave,40.75492,-73.98455,17708,0.45
123,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,17659,0.45
124,5 Ave & E 78 St,40.77632142,-73.96427393,17564,0.45
125,8 Ave & W 16 St,40.740983,-74.001702,17503,0.45
126,6 Ave & W 45 St,40.756951,-73.982631,17490,0.45
127,Henry St & Grand St,40.714211,-73.981095,17437,0.45
128,Centre St & Chambers St,40.71273266,-74.0046073,17377,0.45
129,E 19 St & 3 Ave,40.73624527,-73.98473765,17301,0.45
130,W 54 St & 9 Ave,40.76584941,-73.98690506,17239,0.45
131,MacDougal St & Prince St,40.72710258,-74.00297088,17128,0.45
132,E 33 St & 5 Ave,40.74765947,-73.98490707,17095,0.45
133,Central Park W & W 97 St,40.79249519,-73.96417066,16985,0.45
134,E 2 St & Avenue A,40.72307749,-73.98583621,16948,0.45
135,Fulton St & Broadway,40.711066,-74.009447,16943,0.45
136,W 16 St & The High Line,40.74334935,-74.00681753,16746,0.4
